id_section,nom_grossiste,nom_clean,categorie,email,telephone,adresse,ville,code_postal,site_web,description,annee_fondation,note,pays,montant_minimum,delai_livraison,logo_url,banner_url
AUTO-011,Diamond Apparel,diamond-apparel,Bijouterie,contact@diamondapparel.com,0150972785,"Zone B, Local 441, 93300 Aubervilliers",Aubervilliers,93300,https://www.diamondapparel.com,"Une large gamme de chaussures confortables et stylées pour hommes, femmes et enfants.",2010,4.5,France,100€,24/48h,https://res.cloudinary.com/dinrrznyp/image/upload/v1765552759/logos/diamond-apparel-logo.jpg,https://res.cloudinary.com/dinrrznyp/image/upload/v1765552759/banners/diamond-apparel-banner.jpg
AUTO-012,Trend Loft,trend-loft,Vetements,contact@trendloft.com,0130707130,"Zone B, Local 364, 93300 Aubervilliers",Aubervilliers,93300,https://www.trendloft.com,Votre destination pour les accessoires de mode uniques et originaux. Qualité et style garantis.,2010,4.5,France,100€,24/48h,https://res.cloudinary.com/dinrrznyp/image/upload/v1765552764/logos/trend-loft-logo.jpg,https://res.cloudinary.com/dinrrznyp/image/upload/v1765552769/banners/trend-loft-banner.jpg
AUTO-013,Style House,style-house,Vetements,contact@stylehouse.com,0178422011,"Zone C, Local 140, 93300 Aubervilliers",Aubervilliers,93300,https://www.stylehouse.com,Accessoires de mode urbaine et streetwear pour une clientèle jeune et dynamique.,2010,4.5,France,100€,24/48h,https://res.cloudinary.com/dinrrznyp/image/upload/v1765552770/logos/style-house-logo.jpg,https://res.cloudinary.com/dinrrznyp/image/upload/v1765552771/banners/style-house-banner.jpg
AUTO-014,Elite Trends,elite-trends,Chaussures,contact@elitetrends.com,0139256678,"Zone A, Local 996, 93300 Aubervilliers",Aubervilliers,93300,https://www.elitetrends.com,"Collections enfantines colorées et confortables, conçues pour durer.",2010,4.5,France,100€,24/48h,https://res.cloudinary.com/dinrrznyp/image/upload/v1765552771/logos/elite-trends-logo.jpg,https://res.cloudinary.com/dinrrznyp/image/upload/v1765552772/banners/elite-trends-banner.jpg
AUTO-015,Trend Avenue,trend-avenue,Accessoires,contact@trendavenue.com,0156935384,"Zone A, Local 601, 93300 Aubervilliers",Aubervilliers,93300,https://www.trendavenue.com,"Maroquinerie de luxe abordable. Sacs à main, portefeuilles et bagagerie de qualité.",2010,4.5,France,100€,24/48h,https://res.cloudinary.com/dinrrznyp/image/upload/v1765552773/logos/trend-avenue-logo.jpg,https://res.cloudinary.com/dinrrznyp/image/upload/v1765552774/banners/trend-avenue-banner.jpg
AUTO-016,Atelier Space,atelier-space,Accessoires,contact@atelierspace.com,0131168153,"Zone B, Local 301, 93300 Aubervilliers",Aubervilliers,93300,https://www.atelierspace.com,"Une large gamme de chaussures confortables et stylées pour hommes, femmes et enfants.",2010,4.5,France,100€,24/48h,https://res.cloudinary.com/dinrrznyp/image/upload/v1765552775/logos/atelier-space-logo.jpg,https://res.cloudinary.com/dinrrznyp/image/upload/v1765552776/banners/atelier-space-banner.jpg
AUTO-017,Glamour Couture,glamour-couture,Accessoires,contact@glamourcouture.com,0139271367,"Zone A, Local 708, 93300 Aubervilliers",Aubervilliers,93300,https://www.glamourcouture.com,Grossiste spécialisé dans les tenues de soirée et robes de cocktail.,2010,4.5,France,100€,24/48h,https://res.cloudinary.com/dinrrznyp/image/upload/v1765552777/logos/glamour-couture-logo.jpg,https://res.cloudinary.com/dinrrznyp/image/upload/v1765552778/banners/glamour-couture-banner.jpg
AUTO-018,Atelier Loft,atelier-loft,Bijouterie,contact@atelierloft.com,0110154374,"Zone A, Local 445, 93300 Aubervilliers",Aubervilliers,93300,https://www.atelierloft.com,"Maroquinerie de luxe abordable. Sacs à main, portefeuilles et bagagerie de qualité.",2010,4.5,France,100€,24/48h,https://res.cloudinary.com/dinrrznyp/image/upload/v1765552780/logos/atelier-loft-logo.jpg,https://res.cloudinary.com/dinrrznyp/image/upload/v1765552781/banners/atelier-loft-banner.jpg
AUTO-019,Maison Style,maison-style,Accessoires,contact@maisonstyle.com,0149514114,"Zone B, Local 775, 93300 Aubervilliers",Aubervilliers,93300,https://www.maisonstyle.com,Grossiste spécialisé dans les tenues de soirée et robes de cocktail.,2010,4.5,France,100€,24/48h,https://res.cloudinary.com/dinrrznyp/image/upload/v1765552782/logos/maison-style-logo.jpg,https://res.cloudinary.com/dinrrznyp/image/upload/v1765552783/banners/maison-style-banner.jpg
AUTO-020,Boutique Loft,boutique-loft,Accessoires,contact@boutiqueloft.com,0133465810,"Zone A, Local 182, 93300 Aubervilliers",Aubervilliers,93300,https://www.boutiqueloft.com,Grossiste spécialisé dans les tenues de soirée et robes de cocktail.,2010,4.5,France,100€,24/48h,https://res.cloudinary.com/dinrrznyp/image/upload/v1765552785/logos/boutique-loft-logo.jpg,https://res.cloudinary.com/dinrrznyp/image/upload/v1765552788/banners/boutique-loft-banner.jpg
AUTO-021,Mode Couture,mode-couture,Chaussures,contact@modecouture.com,0142726888,"Zone B, Local 139, 93300 Aubervilliers",Aubervilliers,93300,https://www.modecouture.com,Votre destination pour les accessoires de mode uniques et originaux. Qualité et style garantis.,2010,4.5,France,100€,24/48h,https://res.cloudinary.com/dinrrznyp/image/upload/v1765552789/logos/mode-couture-logo.jpg,https://res.cloudinary.com/dinrrznyp/image/upload/v1765552790/banners/mode-couture-banner.jpg
AUTO-022,Chic Garden,chic-garden,Maroquinerie,contact@chicgarden.com,0145191236,"Zone C, Local 328, 93300 Aubervilliers",Aubervilliers,93300,https://www.chicgarden.com,"Maroquinerie de luxe abordable. Sacs à main, portefeuilles et bagagerie de qualité.",2010,4.5,France,100€,24/48h,https://res.cloudinary.com/dinrrznyp/image/upload/v1765552791/logos/chic-garden-logo.jpg,https://res.cloudinary.com/dinrrznyp/image/upload/v1765552791/banners/chic-garden-banner.jpg
AUTO-023,Atelier Mode,atelier-mode,Vetements,contact@ateliermode.com,0128495662,"Zone B, Local 292, 93300 Aubervilliers",Aubervilliers,93300,https://www.ateliermode.com,Votre destination pour les accessoires de mode uniques et originaux. Qualité et style garantis.,2010,4.5,France,100€,24/48h,https://res.cloudinary.com/dinrrznyp/image/upload/v1765552793/logos/atelier-mode-logo.jpg,https://res.cloudinary.com/dinrrznyp/image/upload/v1765552797/banners/atelier-mode-banner.jpg
AUTO-024,Mode Collection,mode-collection,Chaussures,contact@modecollection.com,0182944373,"Zone B, Local 700, 93300 Aubervilliers",Aubervilliers,93300,https://www.modecollection.com,"Spécialiste du prêt-à-porter féminin, proposant des collections tendances et élégantes pour toutes les saisons.",2010,4.5,France,100€,24/48h,https://res.cloudinary.com/dinrrznyp/image/upload/v1765552797/logos/mode-collection-logo.jpg,https://res.cloudinary.com/dinrrznyp/image/upload/v1765552798/banners/mode-collection-banner.jpg
AUTO-025,Atelier Couture,atelier-couture,Accessoires,contact@ateliercouture.com,0166564317,"Zone B, Local 598, 93300 Aubervilliers",Aubervilliers,93300,https://www.ateliercouture.com,Votre destination pour les accessoires de mode uniques et originaux. Qualité et style garantis.,2010,4.5,France,100€,24/48h,https://res.cloudinary.com/dinrrznyp/image/upload/v1765552799/logos/atelier-couture-logo.jpg,https://res.cloudinary.com/dinrrznyp/image/upload/v1765552800/banners/atelier-couture-banner.jpg
AUTO-026,Royal Avenue,royal-avenue,Accessoires,contact@royalavenue.com,0118451795,"Zone C, Local 686, 93300 Aubervilliers",Aubervilliers,93300,https://www.royalavenue.com,Accessoires de mode urbaine et streetwear pour une clientèle jeune et dynamique.,2010,4.5,France,100€,24/48h,https://res.cloudinary.com/dinrrznyp/image/upload/v1765552801/logos/royal-avenue-logo.jpg,https://res.cloudinary.com/dinrrznyp/image/upload/v1765552802/banners/royal-avenue-banner.jpg
AUTO-027,Boutique House,boutique-house,Maroquinerie,contact@boutiquehouse.com,0125529912,"Zone B, Local 240, 93300 Aubervilliers",Aubervilliers,93300,https://www.boutiquehouse.com,Accessoires de mode urbaine et streetwear pour une clientèle jeune et dynamique.,2010,4.5,France,100€,24/48h,https://res.cloudinary.com/dinrrznyp/image/upload/v1765552802/logos/boutique-house-logo.jpg,https://res.cloudinary.com/dinrrznyp/image/upload/v1765552804/banners/boutique-house-banner.jpg
AUTO-028,Studio Concept,studio-concept,Vetements,contact@studioconcept.com,0178396844,"Zone B, Local 729, 93300 Aubervilliers",Aubervilliers,93300,https://www.studioconcept.com,"Maroquinerie de luxe abordable. Sacs à main, portefeuilles et bagagerie de qualité.",2010,4.5,France,100€,24/48h,https://res.cloudinary.com/dinrrznyp/image/upload/v1765552804/logos/studio-concept-logo.jpg,https://res.cloudinary.com/dinrrznyp/image/upload/v1765552806/banners/studio-concept-banner.jpg
AUTO-029,Maison Street,maison-street,Bijouterie,contact@maisonstreet.com,0139162747,"Zone A, Local 510, 93300 Aubervilliers",Aubervilliers,93300,https://www.maisonstreet.com,Votre destination pour les accessoires de mode uniques et originaux. Qualité et style garantis.,2010,4.5,France,100€,24/48h,https://res.cloudinary.com/dinrrznyp/image/upload/v1765552807/logos/maison-street-logo.jpg,https://res.cloudinary.com/dinrrznyp/image/upload/v1765552808/banners/maison-street-banner.jpg
AUTO-030,Royal Vogue,royal-vogue,Bijouterie,contact@royalvogue.com,0110635521,"Zone A, Local 709, 93300 Aubervilliers",Aubervilliers,93300,https://www.royalvogue.com,Accessoires de mode urbaine et streetwear pour une clientèle jeune et dynamique.,2010,4.5,France,100€,24/48h,https://res.cloudinary.com/dinrrznyp/image/upload/v1765552810/logos/royal-vogue-logo.jpg,https://res.cloudinary.com/dinrrznyp/image/upload/v1765552810/banners/royal-vogue-banner.jpg
AUTO-031,Glamour Vogue,glamour-vogue,Accessoires,contact@glamourvogue.com,0183667276,"Zone C, Local 119, 93300 Aubervilliers",Aubervilliers,93300,https://www.glamourvogue.com,"Collections enfantines colorées et confortables, conçues pour durer.",2010,4.5,France,100€,24/48h,https://res.cloudinary.com/dinrrznyp/image/upload/v1765552811/logos/glamour-vogue-logo.jpg,https://res.cloudinary.com/dinrrznyp/image/upload/v1765552812/banners/glamour-vogue-banner.jpg
AUTO-032,Mode Street,mode-street,Chaussures,contact@modestreet.com,0186902565,"Zone C, Local 356, 93300 Aubervilliers",Aubervilliers,93300,https://www.modestreet.com,"Créateur de bijoux fantaisie haut de gamme, alliant tradition et modernité.",2010,4.5,France,100€,24/48h,https://res.cloudinary.com/dinrrznyp/image/upload/v1765552813/logos/mode-street-logo.jpg,https://res.cloudinary.com/dinrrznyp/image/upload/v1765552814/banners/mode-street-banner.jpg
AUTO-033,Royal Concept,royal-concept,Chaussures,contact@royalconcept.com,0190828771,"Zone A, Local 244, 93300 Aubervilliers",Aubervilliers,93300,https://www.royalconcept.com,"Une large gamme de chaussures confortables et stylées pour hommes, femmes et enfants.",2010,4.5,France,100€,24/48h,https://res.cloudinary.com/dinrrznyp/image/upload/v1765552815/logos/royal-concept-logo.jpg,https://res.cloudinary.com/dinrrznyp/image/upload/v1765552816/banners/royal-concept-banner.jpg
AUTO-034,Golden Garden,golden-garden,Vetements,contact@goldengarden.com,0189862222,"Zone A, Local 953, 93300 Aubervilliers",Aubervilliers,93300,https://www.goldengarden.com,"Spécialiste du prêt-à-porter féminin, proposant des collections tendances et élégantes pour toutes les saisons.",2010,4.5,France,100€,24/48h,https://res.cloudinary.com/dinrrznyp/image/upload/v1765552817/logos/golden-garden-logo.jpg,https://res.cloudinary.com/dinrrznyp/image/upload/v1765552818/banners/golden-garden-banner.jpg
AUTO-035,Style Gallery,style-gallery,Vetements,contact@stylegallery.com,0149655340,"Zone C, Local 659, 93300 Aubervilliers",Aubervilliers,93300,https://www.stylegallery.com,Accessoires de mode urbaine et streetwear pour une clientèle jeune et dynamique.,2010,4.5,France,100€,24/48h,https://res.cloudinary.com/dinrrznyp/image/upload/v1765552819/logos/style-gallery-logo.jpg,https://res.cloudinary.com/dinrrznyp/image/upload/v1765552820/banners/style-gallery-banner.jpg
AUTO-036,Urban Apparel,urban-apparel,Accessoires,contact@urbanapparel.com,0170913469,"Zone A, Local 202, 93300 Aubervilliers",Aubervilliers,93300,https://www.urbanapparel.com,"Maroquinerie de luxe abordable. Sacs à main, portefeuilles et bagagerie de qualité.",2010,4.5,France,100€,24/48h,https://res.cloudinary.com/dinrrznyp/image/upload/v1765552821/logos/urban-apparel-logo.jpg,https://res.cloudinary.com/dinrrznyp/image/upload/v1765552823/banners/urban-apparel-banner.jpg
AUTO-037,Style Trends,style-trends,Chaussures,contact@styletrends.com,0158664889,"Zone C, Local 737, 93300 Aubervilliers",Aubervilliers,93300,https://www.styletrends.com,"Collections enfantines colorées et confortables, conçues pour durer.",2010,4.5,France,100€,24/48h,https://res.cloudinary.com/dinrrznyp/image/upload/v1765552824/logos/style-trends-logo.jpg,https://res.cloudinary.com/dinrrznyp/image/upload/v1765552825/banners/style-trends-banner.jpg
AUTO-038,Vogue Wear,vogue-wear,Maroquinerie,contact@voguewear.com,0147763639,"Zone C, Local 638, 93300 Aubervilliers",Aubervilliers,93300,https://www.voguewear.com,Grossiste spécialisé dans les tenues de soirée et robes de cocktail.,2010,4.5,France,100€,24/48h,https://res.cloudinary.com/dinrrznyp/image/upload/v1765552825/logos/vogue-wear-logo.jpg,https://res.cloudinary.com/dinrrznyp/image/upload/v1765552826/banners/vogue-wear-banner.jpg
AUTO-039,Silver Vogue,silver-vogue,Bijouterie,contact@silvervogue.com,0160886476,"Zone B, Local 110, 93300 Aubervilliers",Aubervilliers,93300,https://www.silvervogue.com,"Maroquinerie de luxe abordable. Sacs à main, portefeuilles et bagagerie de qualité.",2010,4.5,France,100€,24/48h,https://res.cloudinary.com/dinrrznyp/image/upload/v1765552827/logos/silver-vogue-logo.jpg,https://res.cloudinary.com/dinrrznyp/image/upload/v1765552828/banners/silver-vogue-banner.jpg
AUTO-040,Elite Gallery,elite-gallery,Accessoires,contact@elitegallery.com,0149887974,"Zone B, Local 767, 93300 Aubervilliers",Aubervilliers,93300,https://www.elitegallery.com,"Expert en mode masculine, offrant des costumes, chemises et tenues décontractées.",2010,4.5,France,100€,24/48h,https://res.cloudinary.com/dinrrznyp/image/upload/v1765552829/logos/elite-gallery-logo.jpg,https://res.cloudinary.com/dinrrznyp/image/upload/v1765552829/banners/elite-gallery-banner.jpg
